player_id,Player,Points played total,Offense points played,Defense points played,Offense points won,Defense points won,Touches,Points played with touches,Throws,Catches,Possessions initiated,Assists,Secondary assists,Goals,Turnovers,Thrower errors,Receiver errors,Defensive blocks,Stall outs for,Stall outs against,Total completed throw distance (m),Total completed throw gain (m),Average completed throw distance (m),Average completed throw gain (m),Total caught pass distance (m),Total caught pass gain (m),Average caught pass distance (m),Average caught pass gain (m),team,total_callahans,total_pulls,eff_pulls,Off_PlusMinus,Def_PlusMinus,pull_efficiency,OVR_PER,OVR_PER_PerPoint
WOMEN00024,Cat Phillips,15,12,3,10,2,52,15,51,35,17,7,2,1,8,8,0,5,0,0,661.34,492.59,16.13,12.01,422.4,59.77,12.07,1.71,ELLW2019,0,1,0,8,1,0,31.73047897,2.115365265
WOMEN00069,Lucy Deller,22,8,14,4,6,64,19,64,44,20,4,4,0,4,4,0,1,0,0,757.1,441.86,13.05,7.62,423.74,32.57,9.63,0.74,ELL&2024,0,14,0,0,-2,0,28.16466527,1.280212058
WOMEN00024,Cat Phillips,23,14,9,10,3,36,17,35,35,1,7,1,1,2,2,0,1,0,0,516.05,362.46,17.2,12.08,516.83,104.97,14.77,3,ELL*2022,0,2,0,6,-3,0,26.86452492,1.168022823
WOMEN00024,Cat Phillips,11,7,4,7,3,35,10,31,27,8,2,3,4,6,6,0,0,0,0,383.2,280.21,15.97,11.68,339.87,191.37,12.59,7.09,ELLW2018,0,1,0,7,2,0,22.35559902,2.032327184
WOMEN00042,Georgia Egan-Griffiths,21,14,7,10,2,44,17,43,36,8,3,3,1,3,3,0,1,0,0,567.72,286.61,14.19,7.17,365.78,137.49,10.16,3.82,ELL*2022,0,0,0,6,-3,0,21.62127089,1.029584328
WOMEN00048,Holly Reeve,16,11,5,6,0,40,11,40,29,11,3,1,0,9,9,0,5,0,0,399.62,294.01,14.27,10.5,286.58,94.98,9.88,3.28,GWSB2018,0,5,1,1,-5,0.2,21.52825913,1.345516195
WOMEN00024,Cat Phillips,22,14,8,8,6,53,17,51,38,15,4,4,2,7,6,1,3,0,0,544.14,257.33,12.09,5.72,391.86,129.48,10.31,3.41,ELL*2024,0,1,0,2,4,0,20.84837266,0.9476533026
WOMEN00023,Caroline Ma,15,15,1,8,0,48,14,48,38,10,3,1,0,7,7,0,1,0,0,587.34,271.49,14.33,6.62,369.7,142.62,9.73,3.75,ELL&2024,0,0,0,1,-1,0,20.0381763,1.33587842
WOMEN00073,Marah Neal,20,13,7,9,3,45,18,44,35,10,6,3,1,1,1,0,1,0,0,567.49,245.46,13.51,5.84,356.62,29.07,10.19,0.83,ELL&2022,0,7,0,5,-1,0,18.87924656,0.9439623278
WOMEN00042,Georgia Egan-Griffiths,18,12,6,10,2,45,16,45,35,10,1,4,0,6,5,1,1,0,0,476.52,256.57,12.54,6.75,314.84,76.56,9,2.19,ELLW2019,0,0,0,8,-2,0,18.84553211,1.046974006
WOMEN00069,Lucy Deller,18,14,4,10,1,35,15,31,34,1,3,1,4,4,3,1,0,0,0,377.89,178.84,13.5,6.39,458.2,251.34,13.48,7.39,ELL*2022,0,0,0,6,-2,0,18.51154539,1.028419189
WOMEN00070,Lyra Meehan,15,14,1,7,1,28,13,25,23,5,2,0,3,2,1,1,0,0,0,307.85,180.67,13.99,8.21,349.7,290.11,15.2,12.61,ELL&2023,0,1,0,0,1,0,18.070781,1.204718733
WOMEN00048,Holly Reeve,13,9,4,4,2,44,9,43,37,7,1,2,1,4,4,0,1,0,0,527.62,242.11,13.53,6.21,371.42,78.79,10.04,2.13,MANR2021,0,3,0,-1,0,0,17.50090519,1.346223476
WOMEN00070,Lyra Meehan,18,7,11,4,6,26,13,23,19,7,3,0,3,2,2,0,2,0,0,285.29,161.29,15.02,8.49,249.1,152.26,13.11,8.01,ELL*2024,0,9,1,1,1,0.1111111111,17.44073353,0.9689296405
WOMEN00023,Caroline Ma,20,11,9,9,3,30,14,29,24,6,2,4,1,3,3,0,2,0,0,367.25,220.8,14.13,8.49,292.37,141.25,12.18,5.89,ELL&2022,0,5,0,7,-3,0,17.36871632,0.8684358162
WOMEN00034,Diana Worman,15,12,3,8,1,35,14,34,23,12,3,3,1,4,3,1,0,0,0,463.91,273.01,14.96,8.81,216.97,18.62,9.43,0.81,MANU2019,0,2,0,4,-1,0,16.75243808,1.116829205
WOMEN00024,Cat Phillips,14,1,14,0,7,24,9,24,14,10,3,1,0,4,4,0,0,0,0,383.75,273.77,19.19,13.69,168.46,27.3,12.03,1.95,ELL*2023,0,0,0,-1,0,0,16.06126102,1.14723293
WOMEN00042,Georgia Egan-Griffiths,11,5,6,5,4,19,9,18,16,3,5,1,1,1,1,0,0,0,0,320.79,201.88,18.87,11.88,176.46,120.8,11.03,7.55,ELLW2021,0,0,0,5,2,0,15.85397694,1.441270631
WOMEN00023,Caroline Ma,11,4,7,2,5,23,11,23,15,8,2,3,0,3,2,1,1,0,0,293.72,212.58,13.99,10.12,149.59,41.05,9.97,2.74,ELLW2021,0,3,1,0,3,0.3333333333,15.41484851,1.401349864
WOMEN00089,Sarah Crossie,15,13,2,8,0,31,13,31,21,10,1,2,0,4,4,0,2,0,0,398.81,276.56,15.34,10.64,118.25,-3.55,5.63,-0.17,MANU2019,0,0,0,3,-2,0,15.25647271,1.017098181
WOMEN00023,Caroline Ma,15,13,2,7,0,27,13,26,18,9,3,1,1,2,2,0,1,0,0,287.99,175.65,12.52,7.64,192.99,117.35,10.72,6.52,ELL&2023,0,2,1,1,-2,0.5,15.20380789,1.013587193
WOMEN00024,Cat Phillips,15,7,8,6,5,27,12,25,22,5,2,2,2,1,1,0,2,0,0,237.3,106.34,10.32,4.62,326.76,126.48,14.85,5.75,ELLW2021,0,7,1,5,2,0.1428571429,14.80068618,0.9867124118
WOMEN00003,Alex Prentice,17,13,4,9,1,38,13,38,29,9,4,0,0,5,4,1,0,0,0,443.3,194.88,13.04,5.73,227.77,57.08,7.85,1.97,ELL&2022,0,1,0,5,-2,0,14.05600328,0.8268237226
WOMEN00023,Caroline Ma,10,6,4,6,2,23,9,23,18,5,4,2,0,2,2,0,0,0,0,233.06,157.59,11.65,7.88,226.95,136.02,12.61,7.56,ELLW2018,0,1,0,6,0,0,13.88431752,1.388431752
WOMEN00042,Georgia Egan-Griffiths,20,14,6,8,2,50,13,50,42,8,1,2,0,5,4,1,0,0,0,443.63,151.45,9.86,3.37,345.58,121.26,8.23,2.89,ELL*2024,0,0,0,2,-2,0,13.851865,0.69259325
WOMEN00069,Lucy Deller,10,9,1,8,1,23,10,23,17,6,5,0,0,0,0,0,0,0,0,311.07,170.83,13.52,7.43,144.53,66.46,8.5,3.91,ELL*2023,0,0,0,7,1,0,12.99324438,1.299324438
WOMEN00050,Jess Parkes,16,15,1,8,0,50,13,49,45,5,1,1,1,3,3,0,1,0,0,432.33,170.83,9.4,3.71,391.43,27.6,8.7,0.61,ELL&2024,0,0,0,1,-1,0,12.88489406,0.8053058787
WOMEN00069,Lucy Deller,11,10,1,8,1,17,9,16,16,1,1,2,1,1,1,0,0,0,0,202.13,126.89,13.48,8.46,217.89,181.94,13.62,11.37,ELLW2019,0,0,0,6,1,0,12.54450314,1.140409376
WOMEN00062,Lara Perryman,9,9,1,5,0,29,9,29,21,8,1,2,0,2,2,0,0,0,0,354.93,201.47,14.2,8.06,186.52,-7.81,8.88,-0.37,MANR2021,0,0,0,1,-1,0,12.53708371,1.393009301
WOMEN00070,Lyra Meehan,13,4,9,3,6,22,12,21,18,4,2,1,1,1,1,0,1,0,0,257.35,92.34,15.14,5.43,239.62,132.37,13.31,7.35,ELLW2021,0,4,0,2,3,0,12.18947245,0.9376517271
WOMEN00018,Ash Martens,9,7,2,7,1,12,6,11,8,4,2,1,1,2,1,1,2,0,0,173.34,128.36,17.33,12.84,111.49,69.81,13.94,8.73,ELLW2018,0,2,1,7,0,0.5,11.7435578,1.304839755
WOMEN00003,Alex Prentice,11,9,2,8,1,25,10,24,19,6,1,2,1,1,1,0,0,0,0,269.13,155.71,11.7,6.77,181.37,58.65,9.55,3.09,ELL*2023,0,0,0,7,0,0,11.72034635,1.065486032
WOMEN00090,Sarah Wentworth,12,8,4,4,1,22,8,21,21,1,3,0,1,3,2,1,1,0,0,218.6,119.94,12.14,6.66,295.24,157.53,14.06,7.5,MANR2021,0,0,0,0,-2,0,11.43094552,0.9525787935
WOMEN00003,Alex Prentice,13,7,6,6,3,27,8,26,21,6,2,3,1,1,1,0,1,0,0,294.2,159.46,12.26,6.64,162.01,0.05,7.71,0,ELLW2021,0,0,0,5,0,0,11.37092589,0.8746866072
WOMEN00053,Julie Chong,12,12,1,7,0,19,9,19,16,3,1,2,0,2,0,2,1,0,0,236.89,166.06,12.47,8.74,163.13,65.75,10.2,4.11,ELL&2023,0,0,0,2,-1,0,10.4527388,0.8710615666
WOMEN00005,Alicia Handley,10,9,1,4,0,22,9,22,9,13,2,0,0,6,6,0,0,0,0,266.5,151.45,19.04,10.82,100.93,61.44,11.21,6.83,GWSB2018,0,0,0,-1,-1,0,10.38744769,1.038744769
WOMEN00090,Sarah Wentworth,16,9,7,5,1,17,9,16,15,2,2,1,1,2,2,0,3,0,0,158.7,58.95,12.21,4.53,294.86,219.74,19.66,14.65,MANU2019,0,0,0,1,-5,0,9.786155443,0.6116347152
WOMEN00042,Georgia Egan-Griffiths,14,5,9,2,1,19,7,19,16,3,1,0,0,1,1,0,1,0,0,252.19,195.08,14.83,11.48,113.96,-23.9,7.12,-1.49,ELL&2023,0,6,0,-1,-7,0,9.673294509,0.6909496078
WOMEN00070,Lyra Meehan,8,1,8,0,3,21,8,21,11,10,1,1,0,4,4,0,0,0,0,218.39,122.68,14.56,8.18,135.3,71.64,12.3,6.51,ELLW2018,0,5,0,-1,-2,0,9.473424207,1.184178026
WOMEN00093,Simar Dhaliwal,14,1,14,0,6,12,7,11,12,0,1,1,1,0,0,0,0,0,0,130.12,80.82,13.01,8.08,206.49,161.59,17.21,13.47,ELL&2024,0,0,0,-1,-2,0,9.452927558,0.6752091113
WOMEN00032,Dani Alexander,16,13,3,8,0,20,11,18,19,1,1,0,2,2,2,0,1,0,0,168.3,69.61,11.22,4.64,289.69,166.16,15.25,8.75,MANU2019,0,0,0,3,-3,0,9.34902173,0.5843138581
WOMEN00023,Caroline Ma,14,1,13,1,5,20,9,20,10,10,2,1,0,3,3,0,1,0,0,211.53,118.52,13.22,7.41,132.98,64.89,13.3,6.49,ELLW2019,0,11,0,1,-3,0,9.257187068,0.6612276477
WOMEN00003,Alex Prentice,9,7,2,7,1,21,6,21,17,4,1,0,0,1,1,0,2,0,0,194.62,117.5,9.73,5.88,114.89,52.11,6.76,3.07,ELLW2018,0,0,0,7,0,0,9.025739185,1.002859909
WOMEN00084,Rachel Grindlay,13,5,8,3,2,20,12,20,14,6,2,1,0,3,2,1,1,0,0,240.19,160.78,13.34,8.93,103.24,9.99,7.37,0.71,MANU2019,0,2,0,1,-4,0,8.956523835,0.6889633719
WOMEN00092,Shannon Trenwith,7,1,7,0,5,18,7,17,11,7,1,2,1,4,4,0,1,0,0,157.68,97.46,12.13,7.5,168.5,94.62,15.32,8.6,ELLW2018,0,0,0,-1,3,0,8.727570363,1.246795766
WOMEN00041,Eva Weatherall,16,12,4,9,1,11,8,8,11,0,2,1,3,0,0,0,0,0,0,91.02,58.09,11.38,7.26,203.36,166.11,18.49,15.1,ELL&2022,0,0,0,6,-2,0,8.527635078,0.5329771924
WOMEN00026,Chloe McDonald,7,4,3,3,2,17,5,17,13,4,1,1,0,2,2,0,0,0,0,186.49,111.26,12.43,7.42,145.51,56.06,11.19,4.31,ELLW2021,0,0,0,2,1,0,8.378083096,1.196869014
WOMEN00008,Amanda Hudson,9,6,3,2,0,23,8,23,8,15,0,0,0,3,3,0,0,0,0,240.41,149.42,12.65,7.86,76.91,28.31,9.61,3.54,GWSB2018,0,2,0,-2,-3,0,8.229056797,0.9143396442
WOMEN00059,Kerry Justus,8,1,8,0,4,16,5,16,10,6,0,0,0,4,3,1,0,0,0,128.38,80.67,10.7,6.72,125.93,52.51,12.59,5.25,ELLW2018,0,5,1,-1,0,0.2,8.22651442,1.028314303